solution,scenario,f1,f2
1,s1,3.451,7.890
1,s2,3.607,6.410
1,s3,3.857,6.094
2,s1,3.917,9.013
2,s2,4.124,6.868
2,s3,4.392,6.271
3,s1,3.609,8.296
3,s2,3.772,6.580
3,s3,4.022,6.204
4,s1,3.044,6.854
4,s2,3.178,5.973
4,s3,3.428,5.811
5,s1,2.560,5.618
5,s2,2.668,5.454
5,s3,2.918,5.471
6,s1,2.400,5.137
6,s2,2.500,5.185
6,s3,2.750,5.296   
7,s1,4.292,9.955
7,s2,4.494,7.250
7,s3,4.745,6.587   
8,s1,4.300,9.980
8,s2,4.500,7.262
8,s3,4.750,6.604   
9,s1,3.970,8.909
9,s2,4.241,6.760
9,s3,4.549,5.896   
10,s1,3.861,8.558
10,s2,4.155,6.604
10,s3,4.484,5.664   
11,s1,3.808,8.385
11,s2,4.113,6.524
11,s3,4.451,5.550   
12,s1,3.776,8.281
12,s2,4.088,6.475
12,s3,4.432,5.481   
13,s1,3.748,8.189
13,s2,4.066,6.433
13,s3,4.415,5.420   
14,s1,3.680,8.490
14,s2,3.850,6.660
14,s3,4.100,6.260   
15,s1,4.110,9.380
15,s2,4.350,6.980
15,s3,4.640,6.210   
16,s1,3.080,6.030
16,s2,3.540,5.440
16,s3,4.010,4.000   
17,s1,2.900,5.350
17,s2,3.400,5.080
17,s3,3.900,3.540   
18,s1,2.540,5.230
18,s2,2.760,5.200
18,s3,3.080,4.820